Region,Station
Seomjin-main,89.2
Seomjin-main,89
Seomjin-main,88.8
Seomjin-main,88.6
Seomjin-main,88.4
Seomjin-main,88.2
Seomjin-main,88
Seomjin-main,87.8
Seomjin-main,87.718
Seomjin-main,87.6
Seomjin-main,87.4
Seomjin-main,87.2
Seomjin-main,87
Seomjin-main,86.8
Seomjin-main,86.6
Seomjin-main,86.4
Seomjin-main,86.2
Seomjin-main,86
Seomjin-main,85.853
Seomjin-main,85.8
Seomjin-main,85.6
Seomjin-main,85.4
Seomjin-main,85.2
Seomjin-main,85
Seomjin-main,84.8
Seomjin-main,84.6
Seomjin-main,84.4
Seomjin-main,84.2
Seomjin-main,84
Seomjin-main,83.8
Seomjin-main,83.6
Seomjin-main,83.4
Seomjin-main,83.2
Seomjin-main,83
Seomjin-main,82.8
Seomjin-main,82.737
Seomjin-main,82.6
Seomjin-main,82.4
Seomjin-main,82.2
Seomjin-main,82
Seomjin-main,81.8
Seomjin-main,81.6
Seomjin-main,81.4
Seomjin-main,81.2
Seomjin-main,81.092
Seomjin-main,81
Seomjin-main,80.8
Seomjin-main,80.677
Seomjin-main,80.6
Seomjin-main,80.4
Seomjin-main,80.2
Seomjin-main,80
Seomjin-main,79.88
Seomjin-main,79.8
Seomjin-main,79.758
Seomjin-main,79.6
Seomjin-main,79.4
Seomjin-main,79.2
Seomjin-main,79
Seomjin-main,78.8
Seomjin-main,78.6
Seomjin-main,78.4
Seomjin-main,78.2
Seomjin-main,78
Seomjin-main,77.8
Seomjin-main,77.7
Seomjin-main,77.67
Seomjin-main,77.613
Seomjin-main,77.4
Seomjin-main,77.2
Seomjin-main,77
Seomjin-main,76.8
Seomjin-main,76.6
Seomjin-main,76.4
Seomjin-main,76.2
Seomjin-main,76
Seomjin-main,75.8
Seomjin-main,75.753
Seomjin-main,75.6
Seomjin-main,75.4
Seomjin-main,75.2
Seomjin-main,75
Seomjin-main,74.956
Seomjin-main,74.8
Seomjin-main,74.6
Seomjin-main,74.4
Seomjin-main,74.2
Seomjin-main,74
Seomjin-main,73.8
Seomjin-main,73.6
Seomjin-main,73.416
Seomjin-main,73.364
Seomjin-main,73.2
Seomjin-main,73
Seomjin-main,72.8
Seomjin-main,72.6
Seomjin-main,72.4
Seomjin-main,72.2
Seomjin-main,71.964
Seomjin-main,71.8
Seomjin-main,71.6
Seomjin-main,71.4
Seomjin-main,71.2
Seomjin-main,71
Seomjin-main,70.8
Seomjin-main,70.6
Seomjin-main,70.4
Seomjin-main,70.2
Seomjin-main,70
Seomjin-main,69.8
Seomjin-main,69.667
Seomjin-main,69.6
Seomjin-main,69.4
Seomjin-main,69.2
Seomjin-main,69
Seomjin-main,68.8
Seomjin-main,68.6
Seomjin-main,68.4
Seomjin-main,68.2
Seomjin-main,68
Seomjin-main,67.8
Seomjin-main,67.6
Seomjin-main,67.432
Seomjin-main,67.2
Seomjin-main,67.152
Seomjin-main,67
Seomjin-main,66.8
Seomjin-main,66.6
Seomjin-main,66.421
Seomjin-main,66.336
Seomjin-main,66.2
Seomjin-main,66
Seomjin-main,65.8
Seomjin-main,65.6
Seomjin-main,65.4
Seomjin-main,65.2
Seomjin-main,65
Seomjin-main,64.8
Seomjin-main,64.715
Seomjin-main,64.6
Seomjin-main,64.4
Seomjin-main,64.2
Seomjin-main,64
Seomjin-main,63.8
Seomjin-main,63.6
Seomjin-main,63.4
Seomjin-main,63.2
Seomjin-main,63
Seomjin-main,62.8
Seomjin-main,62.6
Seomjin-main,62.4
Seomjin-main,62.162
Seomjin-main,62
Seomjin-boseong,25.97
Seomjin-boseong,25.77
Seomjin-boseong,25.57
Seomjin-boseong,25.37
Seomjin-boseong,25.283
Seomjin-boseong,25.17
Seomjin-boseong,24.97
Seomjin-boseong,24.744
Seomjin-boseong,24.542
Seomjin-boseong,24.37
Seomjin-boseong,24.287
Seomjin-boseong,24.17
Seomjin-boseong,23.97
Seomjin-boseong,23.74
Seomjin-boseong,23.54
Seomjin-boseong,23.34
Seomjin-boseong,23.14
Seomjin-boseong,22.94
Seomjin-boseong,22.74
Seomjin-boseong,22.54
Seomjin-boseong,22.34
Seomjin-boseong,22.162
Seomjin-boseong,22.103
Seomjin-boseong,21.94
Seomjin-boseong,21.74
Seomjin-boseong,21.54
Seomjin-boseong,21.32
Seomjin-boseong,21.17
Seomjin-boseong,20.97
Seomjin-boseong,20.8
Seomjin-boseong,20.59
Seomjin-boseong,20.39
Seomjin-boseong,20.19
Seomjin-boseong,19.99
Seomjin-boseong,19.79
Seomjin-boseong,19.575
Seomjin-boseong,19.375
Seomjin-boseong,19.16
Seomjin-boseong,18.96
Seomjin-boseong,18.76
Seomjin-boseong,18.56
Seomjin-boseong,18.36
Seomjin-boseong,18.16
Seomjin-boseong,17.97
Seomjin-boseong,17.77
Seomjin-boseong,17.57
Seomjin-boseong,17.37
Seomjin-boseong,17.17
Seomjin-boseong,16.97
Seomjin-boseong,16.796
Seomjin-boseong,16.648
Seomjin-boseong,16.555
Seomjin-boseong,16.355
Seomjin-boseong,16.155
Seomjin-boseong,15.96
Seomjin-boseong,15.765
Seomjin-boseong,15.565
Seomjin-boseong,15.365
Seomjin-boseong,15.165
Seomjin-boseong,14.965
Seomjin-boseong,14.77
Seomjin-boseong,14.57
Seomjin-boseong,14.385
Seomjin-boseong,14.19
Seomjin-boseong,13.99
Seomjin-boseong,13.79
Seomjin-boseong,13.59
Seomjin-boseong,13.395
Seomjin-boseong,13.19
Seomjin-boseong,12.99
Seomjin-boseong,12.805
Seomjin-boseong,12.61
Seomjin-boseong,12.41
Seomjin-boseong,12.21
Seomjin-boseong,12.01
Seomjin-boseong,11.81
Seomjin-boseong,11.733
Seomjin-boseong,11.61
Seomjin-boseong,11.41
Seomjin-boseong,11.21
Seomjin-boseong,11.01
Seomjin-boseong,10.81
Seomjin-boseong,10.6
Seomjin-boseong,10.4
Seomjin-boseong,10.2
Seomjin-boseong,10
Seomjin-boseong,9.8
Seomjin-boseong,9.6
Seomjin-boseong,9.4
Seomjin-boseong,9.2
Seomjin-boseong,9
Seomjin-boseong,8.8
Seomjin-boseong,8.6
Seomjin-boseong,8.4
Seomjin-boseong,8.2
Seomjin-boseong,8
Seomjin-boseong,7.8
Seomjin-boseong,7.6
Seomjin-boseong,7.4
Seomjin-boseong,7.2
Seomjin-boseong,7
Seomjin-boseong,6.8
Seomjin-boseong,6.6
Seomjin-boseong,6.4
Seomjin-boseong,6.2
Seomjin-boseong,6
Seomjin-boseong,5.8
Seomjin-boseong,5.6
Seomjin-boseong,5.4
Seomjin-boseong,5.285
Seomjin-boseong,5.2
Seomjin-boseong,5
Seomjin-boseong,4.8
Seomjin-boseong,4.6
Seomjin-boseong,4.4
Seomjin-boseong,4.2
Seomjin-boseong,4
Seomjin-boseong,3.79
Seomjin-boseong,3.59
Seomjin-boseong,3.39
Seomjin-boseong,3.19
Seomjin-boseong,2.99
Seomjin-boseong,2.79
Seomjin-boseong,2.6
Seomjin-boseong,2.4
Seomjin-boseong,2.2
Seomjin-boseong,2
Seomjin-boseong,1.8
Seomjin-boseong,1.6
Seomjin-boseong,1.4
Seomjin-boseong,1.2
Seomjin-boseong,1
Seomjin-boseong,0.8
Seomjin-boseong,0.6
Seomjin-boseong,0.4
Seomjin-boseong,0.17
Seomjin-boseong,0
Seomjin-boseong,-1
Seomjin-main_down,61.8
Seomjin-main_down,61.667
Seomjin-main_down,61.6
Seomjin-main_down,61.4
Seomjin-main_down,61.2
Seomjin-main_down,61
Seomjin-main_down,60.8
Seomjin-main_down,60.6
Seomjin-main_down,60.4
Seomjin-main_down,60.2
Seomjin-main_down,60.106
Seomjin-main_down,60
Seomjin-main_down,59.8
Seomjin-main_down,59.6
Seomjin-main_down,59.4
Seomjin-main_down,59.2
Seomjin-main_down,59
Seomjin-main_down,58.8
Seomjin-main_down,58.6
Seomjin-main_down,58.4
Seomjin-main_down,58.2
Seomjin-main_down,58
Seomjin-main_down,57.8
Seomjin-main_down,57.6
Seomjin-main_down,57.528
Seomjin-main_down,57.4
Seomjin-main_down,57.2
Seomjin-main_down,57
Seomjin-main_down,56.8
Seomjin-main_down,56.6
Seomjin-main_down,56.4
Seomjin-main_down,56.2
Seomjin-main_down,56
Seomjin-main_down,55.8
Seomjin-main_down,55.6
Seomjin-main_down,55.4
Seomjin-main_down,55.2
Seomjin-main_down,55.127
Seomjin-main_down,55
Seomjin-main_down,54.92
Seomjin-main_down,54.8
Seomjin-main_down,54.6
Seomjin-main_down,54.4
Seomjin-main_down,54.2
Seomjin-main_down,53.983
Seomjin-main_down,53.8
Seomjin-main_down,53.6
Seomjin-main_down,53.4
Seomjin-main_down,53.2
Seomjin-main_down,53.108
Seomjin-main_down,53
Seomjin-main_down,52.917
Seomjin-main_down,52.8
Seomjin-main_down,52.6
Seomjin-main_down,52.4
Seomjin-main_down,52.2
Seomjin-main_down,52
Seomjin-main_down,51.8
Seomjin-main_down,51.6
Seomjin-main_down,51.4
Seomjin-main_down,51.2
Seomjin-main_down,51
Seomjin-main_down,50.8
Seomjin-main_down,50.6
Seomjin-main_down,50.4
Seomjin-main_down,50.247
Seomjin-main_down,50.2
Seomjin-main_down,50
Seomjin-main_down,49.8
Seomjin-main_down,49.6
Seomjin-main_down,49.4
Seomjin-main_down,49.2
Seomjin-main_down,48.995
Seomjin-main_down,48.842
Seomjin-main_down,48.8
Seomjin-main_down,48.6
Seomjin-main_down,48.4
Seomjin-main_down,48.2
Seomjin-main_down,48
Seomjin-main_down,47.8
Seomjin-main_down,47.6
Seomjin-main_down,47.555
Seomjin-main_down,47.4
Seomjin-main_down,47.276
Seomjin-main_down,47.2
Seomjin-main_down,47
Seomjin-main_down,46.8
Seomjin-main_down,46.6
Seomjin-main_down,46.4
Seomjin-main_down,46.2
