419.756,536.695,541.397,584.99,586.48,589.325,618.188,597.202,549.688,1630.97,3416.7,3430.85,4402.72,4806.92,4920.52,
418.671,531.659,536.104,577.336,578.758,582.587,622.021,624.022,612.663,1623.4,3248.79,3261.18,4230.01,4681.61,4874.88,
417.777,527.224,531.473,570.83,572.124,575.306,612.971,619.328,627.467,1659.09,3140.37,3147.48,4023.64,4500.89,4761.28,
416.762,523.039,527.184,565.468,566.66,569.393,604.99,610.68,621.602,1667.5,3097.2,3100.26,3845.21,4294.62,4583.89,
415.677,518.941,522.955,560.474,561.641,564.272,598.446,603.609,614.018,1645.84,3082.5,3084.41,3737.12,4134.93,4394.6,
414.773,515.292,519.129,555.472,556.632,559.279,592.726,597.634,607.613,1616.68,3064.26,3066.04,3696.12,4046.15,4254.17,
413.859,512.056,515.781,550.804,551.908,554.376,587.02,591.854,601.354,1589.22,3050.99,3052.45,3697.73,4022.84,4165.4,
413.411,510.016,513.377,546.85,547.917,550.037,581.849,586.402,595.377,1563.76,3036.12,3038.71,3715.19,4028.25,4129.52,
414.499,510.209,513.168,544.316,545.314,546.69,577.826,581.73,590.075,1537.86,3001.91,3005.59,3727.41,4038.15,4117.44,
416.41,511.326,514.615,544.336,545.175,546.181,575.194,578.391,585.746,1511.01,2941.15,2946.63,3706.61,4029.2,4108.69,
416.365,510.001,514.069,546.125,546.814,546.625,575.546,577.742,583.19,1485.92,2874.8,2881,3636.74,3970.85,4075.86,
413.596,505.023,509.303,546.173,547.098,547.774,576.688,578.68,582.995,1462.22,2808.69,2814.41,3537.06,3876.26,4009.89,
410.19,498.847,502.835,541.518,542.859,545.547,576.741,579.218,583.671,1441.07,2753.03,2757.5,3431.05,3766.88,3929.27,
412.084,510.599,510.972,535.144,536.267,539.352,572.974,577.328,583.965,1421.85,2708.97,2712.46,3344.79,3669.15,3847.38,
417.106,563.001,558.125,545.538,543.917,538.401,568.373,573.22,581.644,1404.31,2684.19,2685.09,3302.39,3603.13,3777.27,
416.984,600.698,604.821,607.04,601.68,572.723,582.236,577.852,580.054,1390.45,2696.77,2695.57,3303.44,3580.16,3731.43,
413.598,580.41,592.275,671.693,671.914,648.64,654.63,621.445,596.046,1382.25,2715.76,2715.59,3321.43,3590.63,3728.8,
409.235,541.095,552.718,662.507,668.699,678.522,735.183,711.153,662.248,1385.28,2709.59,2711.71,3321.21,3596.42,3702.45,
405.746,511.278,519.538,612.655,618.913,642.137,731.967,741.635,736.424,1420.84,2688.06,2690.81,3297.81,3574.56,3678.99,
404.462,494.354,499.443,567.578,572.086,591.406,673.167,702.226,731.751,1495.77,2673.36,2674.7,3254.08,3530.28,3630.22,
404.724,486.725,490.348,536.864,540.254,553.619,618.839,644.993,683.563,1550.6,2685.66,2684.93,3203.56,3476.17,3565.16,
405.414,483.34,486.223,520.894,522.974,529.878,581.266,599.518,632.334,1557.4,2704.1,2704.04,3169.08,3425.08,3496.03,
