Region,stn_river,stn_drum
Seomjin-boseong,16.555,56026
Seomjin-boseong,16.355,55419
Seomjin-boseong,15.765,55725
Seomjin-boseong,15.565,56334
Seomjin-boseong,15.165,56639
Seomjin-boseong,15.165,56336
Seomjin-boseong,14.385,56948
Seomjin-boseong,13.99,56339
Seomjin-boseong,13.395,55730
Seomjin-boseong,12.99,55732
Seomjin-boseong,12.805,55733
Seomjin-boseong,12.61,56038
Seomjin-boseong,11.733,56650
Seomjin-boseong,11.61,56041
Seomjin-boseong,10.81,55738
Seomjin-boseong,10.81,55433
Seomjin-boseong,10.6,55740
Seomjin-boseong,10.4,55132
Seomjin-boseong,10.2,55435
Seomjin-boseong,10,54831
Seomjin-boseong,8.6,53087
Seomjin-boseong,7.4,53090
Seomjin-boseong,6.8,52226
Seomjin-boseong,6,52517
Seomjin-boseong,5.6,51942
Seomjin-boseong,5.285,51659
Seomjin-boseong,4.8,51377
Seomjin-boseong,4.6,51094
Seomjin-boseong,4.2,50529
Seomjin-boseong,3.79,49966
Seomjin-boseong,2,49690
Seomjin-boseong,2,49408
Seomjin-boseong,1.8,49129
Seomjin-main_down,60.4,48859
Seomjin-main_down,60,48298
Seomjin-main_down,59.8,48022
Seomjin-main_down,59.4,48582
Seomjin-main_down,59.4,48024
Seomjin-main_down,58.6,48305
Seomjin-main_down,58.4,48304
Seomjin-main_down,57.6,48308
Seomjin-main_down,57.528,48868
Seomjin-main_down,57.4,49151
Seomjin-main_down,57.2,49150
Seomjin-main_down,56.8,49432
Seomjin-main_down,56.2,49434
Seomjin-main_down,55.4,50281
Seomjin-main_down,55,49997
Seomjin-main_down,54.92,51130
Seomjin-main_down,54.6,50847
Seomjin-main_down,54.4,50564
Seomjin-main_down,54.2,51414
Seomjin-main_down,53.6,51133
Seomjin-main_down,53.4,51415
Seomjin-main_down,52.917,51134
Seomjin-main_down,52.8,51700
Seomjin-main_down,52.6,51984
Seomjin-main_down,52.4,51420
Seomjin-main_down,52.4,51136
Seomjin-main_down,52.2,51135
Seomjin-main_down,52,50856
Seomjin-main_down,51.6,50293
Seomjin-main_down,51.2,50573
Seomjin-main_down,50.4,48886
Seomjin-main_down,49.8,48327
Seomjin-main_down,49.6,48607
Seomjin-main_down,49.4,48605
Seomjin-main_down,49.2,47771
Seomjin-main_down,48.995,48050
Seomjin-main_down,48.995,48049
Seomjin-main_down,48.6,47490
Seomjin-main_down,48.6,47205
Seomjin-main_down,48.4,47772
Seomjin-main_down,48.2,47208
Seomjin-main_down,47.8,47491
Seomjin-main_down,47.8,46921
Seomjin-main_down,47.555,47209
Seomjin-main_down,47.2,46358
Seomjin-main_down,47,46926
Seomjin-main_down,46.8,47210
Seomjin-main_down,46.8,46360
Seomjin-main_down,46.6,46929
Seomjin-main_down,46.4,47212
Seomjin-main_down,46.4,46928
Seomjin-main_down,46.2,46643
Seomjin-main_down,46,47497
Seomjin-main_down,45.8,47780
Seomjin-main_down,45.8,47215
Seomjin-main_down,45.4,48061
Seomjin-main_down,45.2,48060
Seomjin-main_down,45.2,47500
Seomjin-main_down,45,47783
Seomjin-main_down,44.8,47784
Seomjin-main_down,44.6,48342
Seomjin-main_down,44.6,47786
Seomjin-main_down,44.4,48341
Seomjin-main_down,44.2,48066
Seomjin-main_down,43.8,48345
Seomjin-main_down,43.6,48344
Seomjin-main_down,43.4,48906
Seomjin-main_down,43.4,48626
Seomjin-main_down,43.4,48346
Seomjin-main_down,43.2,48627
Seomjin-main_down,43,48628
Seomjin-main_down,42.526,49190
Seomjin-main_down,41.8,48350
Seomjin-main_down,41,48075
Seomjin-main_down,39.6,48080
Seomjin-main_down,39.4,48082
Seomjin-main_down,39.2,48083
Seomjin-main_down,38.8,47238
Seomjin-main_down,38,47240
Seomjin-main_down,37.8,46956
Seomjin-main_down,36.2,47247
Seomjin-main_down,35.2,47251
Seomjin-main_down,34.8,46967
Seomjin-main_down,34.8,46683
Seomjin-main_down,34.4,47538
Seomjin-main_down,34.2,47821
Seomjin-main_down,33.5,48101
Seomjin-main_down,32.942,48383
Seomjin-main_down,32.5,48663
Seomjin-main_down,32,49225
Seomjin-main_down,31.5,49506
Seomjin-main_down,31,50352
Seomjin-main_down,31,49787
Seomjin-main_down,30.5,50354
Seomjin-main_down,30.5,50070
Seomjin-main_down,30,50920
Seomjin-main_down,30,50637
Seomjin-main_down,29.5,51484
Seomjin-main_down,29,51486
Seomjin-main_down,28.5,51768
Seomjin-main_down,28,52343
Seomjin-main_down,28,52056
Seomjin-main_down,28,51771
Seomjin-main_down,28,51770
Seomjin-main_down,28,51769
Seomjin-main_down,27.5,52346
Seomjin-main_down,27.5,52058
Seomjin-main_down,27.5,52057
Seomjin-main_down,27,52636
Seomjin-main_down,26.5,53214
Seomjin-main_down,25.5,54078
Seomjin-main_down,25.5,53789
Seomjin-main_down,24,54967
Seomjin-main_down,24,54667
Seomjin-main_down,24,54666
Seomjin-main_down,23.5,55879
Seomjin-main_down,23.5,55575
Seomjin-main_down,23.5,55270
Seomjin-main_down,22.5,56489
Seomjin-main_down,22.5,56184
Seomjin-main_down,21.679,57983
Seomjin-main_down,21,58540
Seomjin-main_down,21,58263
Seomjin-main_down,21,58261
Seomjin-main_down,20.5,59074
Seomjin-main_down,20.5,58812
Seomjin-main_down,20,59338
Seomjin-main_down,19.926,59336
Seomjin-main_down,18.5,60117
Seomjin-main_down,18,60371
Seomjin-main_down,17.5,61121
Seomjin-main_down,17,61358
Seomjin-main_down,16.516,61589
Seomjin-main_down,16,61812
Seomjin-main_down,16,61587
Seomjin-main_down,15.5,62038
Seomjin-main_down,15.5,61816
Seomjin-main_down,14.797,62477
Seomjin-main_down,14.5,62263
Seomjin-main_down,14,62688
Seomjin-main_down,13,63461
Seomjin-main_down,12.836,63642
Seomjin-main_down,12.5,63640
Seomjin-main_down,11,63986
Seomjin-main_down,10.144,64434
Seomjin-main_down,10,65251
Seomjin-main_down,9.5,64977
Seomjin-main_down,9.5,64711
Seomjin-main_down,9,65523
Seomjin-main_down,9,65387
Seomjin-main_down,8.5,65526
Seomjin-main_down,8,65659
Seomjin-main_down,7.5,65793
Seomjin-main_down,7.127,66058
Seomjin-main_down,7,65926
Seomjin-main_down,6.5,66592
Seomjin-main_down,6.5,66456
Seomjin-main_down,6,66321
Seomjin-main_down,6,66190
Seomjin-main_down,4.712,67436
Seomjin-main_down,4.5,67295
Seomjin-main_down,4,68156
Seomjin-main_down,3.5,68013
Seomjin-main_down,3,67724
Seomjin-main_down,2.5,68430
Seomjin-main_down,2.5,68292
Seomjin-main_down,0,69045
Seomjin-main_down,0,68936
