River,Reach,Station,MAX_WL
Seomjin,main,107.943,84.422028
Seomjin,main,107.800,84.243591
Seomjin,main,107.600,84.153976
Seomjin,main,107.400,83.965469
Seomjin,main,107.200,83.741226
Seomjin,main,107.000,83.581985
Seomjin,main,106.800,83.492439
Seomjin,main,106.600,83.396423
Seomjin,main,106.400,83.201736
Seomjin,main,106.200,83.097870
Seomjin,main,106.000,83.070663
Seomjin,main,105.956,82.960533
Seomjin,main,105.800,82.728409
Seomjin,main,105.600,82.412186
Seomjin,main,105.400,82.104912
Seomjin,main,105.200,81.964104
Seomjin,main,105.152,81.987991
Seomjin,main,104.977,81.872223
Seomjin,main,104.800,81.684326
Seomjin,main,104.600,81.561172
Seomjin,main,104.400,81.414169
Seomjin,main,104.200,81.230576
Seomjin,main,104.142,80.958115
Seomjin,main,104.000,80.734329
Seomjin,main,103.800,80.578041
Seomjin,main,103.671,80.452080
Seomjin,main,103.600,80.390320
Seomjin,main,103.400,80.295364
Seomjin,main,103.200,80.167282
Seomjin,main,103.000,80.040009
Seomjin,main,102.800,79.875595
Seomjin,main,102.718,79.725281
Seomjin,main,102.600,79.563324
Seomjin,main,102.474,79.276550
Seomjin,main,102.400,79.147583
Seomjin,main,102.200,78.916214
Seomjin,main,102.000,78.622803
Seomjin,main,101.800,78.585953
Seomjin,main,101.600,78.474365
Seomjin,main,101.400,78.293152
Seomjin,main,101.200,78.215813
Seomjin,main,101.000,78.126205
Seomjin,main,100.868,77.876251
Seomjin,main,100.800,77.747009
Seomjin,main,100.600,77.707977
Seomjin,main,100.400,77.553436
Seomjin,main,100.200,77.285492
Seomjin,main,100.147,77.049057
Seomjin,main,100.000,76.877930
Seomjin,main,99.800,76.597343
Seomjin,main,99.727,76.294128
Seomjin,main,99.600,76.185547
Seomjin,main,99.400,76.162537
Seomjin,main,99.200,76.041405
Seomjin,main,99.000,75.894272
Seomjin,main,98.800,75.728455
Seomjin,main,98.600,75.535095
Seomjin,main,98.400,75.299713
Seomjin,main,98.200,75.018318
Seomjin,main,98.000,74.774338
Seomjin,main,97.800,74.688248
Seomjin,main,97.656,74.741623
Seomjin,main,97.600,74.722076
Seomjin,main,97.400,74.535004
Seomjin,main,97.200,74.338760
Seomjin,main,97.049,74.230988
Seomjin,main,97.000,74.204689
Seomjin,main,96.800,74.160843
Seomjin,main,96.600,73.902702
Seomjin,main,96.400,73.634727
Seomjin,main,96.200,73.479736
Seomjin,main,96.000,73.337021
Seomjin,main,95.800,73.186905
Seomjin,main,95.600,72.857056
Seomjin,main,95.400,72.685608
Seomjin,main,95.346,72.740936
Seomjin,main,95.200,72.656738
Seomjin,main,95.000,72.441864
Seomjin,main,94.896,72.259636
Seomjin,main,94.800,72.216171
Seomjin,main,94.600,72.120827
Seomjin,main,94.400,71.941757
Seomjin,main,94.200,71.710266
Seomjin,main,94.000,71.451859
Seomjin,main,93.800,71.371025
Seomjin,main,93.600,71.402252
Seomjin,main,93.502,71.347168
Seomjin,main,93.400,71.178062
Seomjin,main,93.200,70.937714
Seomjin,main,93.000,70.699242
Seomjin,main,92.800,70.475754
Seomjin,main,92.600,70.090820
Seomjin,main,92.400,69.732872
Seomjin,main,92.200,69.465462
Seomjin,main,92.000,69.199181
Seomjin,main,91.868,69.069672
Seomjin,main,91.800,69.010818
Seomjin,main,91.600,68.901917
Seomjin,main,91.400,68.735901
Seomjin,main,91.200,68.559753
Seomjin,main,91.000,68.358002
Seomjin,main,90.800,68.287552
Seomjin,main,90.600,68.308716
Seomjin,main,90.400,68.281082
Seomjin,main,90.297,68.240097
Seomjin,main,90.200,68.201340
Seomjin,main,90.000,68.179558
Seomjin,main,89.800,68.147255
Seomjin,main,89.600,68.069641
Seomjin,main,89.400,67.950302
Seomjin,main,89.200,67.785454
Seomjin,main,89.000,67.595688
Seomjin,main,88.800,67.357651
Seomjin,main,88.600,67.152267
Seomjin,main,88.400,67.083702
Seomjin,main,88.200,67.041359
Seomjin,main,88.000,66.978752
Seomjin,main,87.800,66.945526
Seomjin,main,87.718,66.943726
Seomjin,main,87.600,66.941879
Seomjin,main,87.400,66.911621
Seomjin,main,87.200,66.859520
Seomjin,main,87.000,66.779984
Seomjin,main,86.800,66.628906
Seomjin,main,86.600,66.329727
Seomjin,main,86.400,65.802582
Seomjin,main,86.200,65.191391
Seomjin,main,86.000,64.527496
Seomjin,main,85.853,64.239540
Seomjin,main,85.800,64.260284
Seomjin,main,85.600,64.132141
Seomjin,main,85.400,63.874832
Seomjin,main,85.200,63.353271
Seomjin,main,85.000,62.891552
Seomjin,main,84.800,62.580292
Seomjin,main,84.600,62.089005
Seomjin,main,84.400,61.502827
Seomjin,main,84.200,61.002571
