River,Reach,Station,MAX_WL
Seomjin,main,136.000,139.066376
Seomjin,main,135.307,138.347992
Seomjin,main,135.200,137.320251
Seomjin,main,135.000,136.857574
Seomjin,main,134.800,136.540894
Seomjin,main,134.600,136.184830
Seomjin,main,134.400,135.859344
Seomjin,main,134.200,134.991364
Seomjin,main,134.000,133.833496
Seomjin,main,133.800,133.139938
Seomjin,main,133.600,132.898102
Seomjin,main,133.400,132.809845
Seomjin,main,133.200,132.523956
Seomjin,main,133.000,132.243988
Seomjin,main,132.800,132.145538
Seomjin,main,132.650,131.619690
Seomjin,main,132.600,131.076248
Seomjin,main,132.400,130.859772
Seomjin,main,132.268,130.809341
Seomjin,main,132.200,130.797119
Seomjin,main,132.000,130.791504
Seomjin,main,131.800,130.775574
Seomjin,main,131.727,129.407196
Seomjin,main,131.600,127.154251
Seomjin,main,131.400,125.738495
Seomjin,main,131.200,125.130005
Seomjin,main,131.000,125.004433
Seomjin,main,130.800,124.967354
Seomjin,main,130.600,124.955818
Seomjin,main,130.400,124.945656
Seomjin,main,130.200,125.022324
Seomjin,main,130.000,124.858650
Seomjin,main,129.800,124.337540
Seomjin,main,129.711,123.838142
Seomjin,main,129.600,123.485901
Seomjin,main,129.517,123.317413
Seomjin,main,129.466,123.247711
Seomjin,main,129.400,123.056686
Seomjin,main,129.200,122.558121
Seomjin,main,129.000,121.929993
Seomjin,main,128.846,121.562134
Seomjin,main,128.800,121.324753
Seomjin,main,128.600,120.964767
Seomjin,main,128.400,120.630913
Seomjin,main,128.200,120.391205
Seomjin,main,128.000,120.146652
Seomjin,main,127.845,119.904785
Seomjin,main,127.800,119.696655
Seomjin,main,127.723,119.561058
Seomjin,main,127.600,119.469818
Seomjin,main,127.400,119.323212
Seomjin,main,127.200,119.158569
Seomjin,main,127.000,118.950630
Seomjin,main,126.800,118.690208
Seomjin,main,126.600,118.332901
Seomjin,main,126.400,117.973564
Seomjin,main,126.200,117.763550
Seomjin,main,126.000,117.607880
Seomjin,main,125.905,117.308685
Seomjin,main,125.800,117.015625
Seomjin,main,125.605,116.827896
Seomjin,main,125.400,116.569359
Seomjin,main,125.200,116.232147
Seomjin,main,125.033,115.729454
Seomjin,main,124.800,115.208229
Seomjin,main,124.725,114.740395
Seomjin,main,124.600,114.411705
Seomjin,main,124.400,113.977325
Seomjin,main,124.200,113.153229
Seomjin,main,124.000,112.190430
Seomjin,main,123.800,111.442497
Seomjin,main,123.600,110.981194
Seomjin,main,123.378,110.519714
Seomjin,main,123.200,110.023499
Seomjin,main,123.000,109.414597
Seomjin,main,122.800,108.706398
Seomjin,main,122.600,108.044632
Seomjin,main,122.400,107.318634
Seomjin,main,122.200,106.760498
Seomjin,main,122.000,106.482613
Seomjin,main,121.800,106.392563
Seomjin,main,121.600,106.284103
Seomjin,main,121.400,106.142776
Seomjin,main,121.200,105.991814
Seomjin,main,121.000,105.838989
Seomjin,main,120.869,105.160896
Seomjin,main,120.800,104.606247
Seomjin,main,120.600,104.373207
Seomjin,main,120.400,104.044167
Seomjin,main,120.200,103.735107
Seomjin,main,120.000,103.455795
Seomjin,main,119.944,103.160965
Seomjin,main,119.800,102.914169
Seomjin,main,119.600,102.706367
Seomjin,main,119.477,102.534851
Seomjin,main,119.400,102.418640
Seomjin,main,119.200,102.254723
Seomjin,main,119.000,101.831848
Seomjin,main,118.800,100.709839
Seomjin,main,118.600,99.688004
Seomjin,main,118.400,99.011780
Seomjin,main,118.200,98.527298
Seomjin,main,118.000,97.879990
Seomjin,main,117.940,97.281250
Seomjin,main,117.800,96.975647
Seomjin,main,117.600,96.850861
Seomjin,main,117.400,96.756607
Seomjin,main,117.200,96.653961
Seomjin,main,117.029,96.530426
Seomjin,main,116.935,96.218399
Seomjin,main,116.800,95.476944
Seomjin,main,116.600,94.651749
Seomjin,main,116.400,94.039207
Seomjin,main,116.200,93.613495
Seomjin,main,116.000,93.334366
Seomjin,main,115.800,93.081711
Seomjin,main,115.600,92.553040
Seomjin,main,115.400,91.904251
Seomjin,main,115.349,91.471161
Seomjin,main,115.200,91.034279
Seomjin,main,115.096,90.575256
Seomjin,main,115.000,90.257202
Seomjin,main,114.800,89.881371
Seomjin,main,114.600,89.369423
Seomjin,main,114.400,88.874001
Seomjin,main,114.200,88.528702
Seomjin,main,114.000,88.196930
Seomjin,main,113.800,87.865677
Seomjin,main,113.600,87.431412
Seomjin,main,113.400,87.048004
Seomjin,main,113.263,86.833572
Seomjin,main,113.200,86.686935
Seomjin,main,113.000,86.442398
Seomjin,main,112.800,86.155167
Seomjin,main,112.600,85.935333
Seomjin,main,112.400,85.757568
Seomjin,main,112.200,85.542236
Seomjin,main,112.000,85.159821
Seomjin,main,111.800,84.856750
Seomjin,main,111.600,84.637215
Seomjin,main,111.400,84.360504
Seomjin,main,111.297,84.161499
Seomjin,main,111.200,84.029465
Seomjin,main,111.000,83.835785
Seomjin,main,110.800,83.642197
Seomjin,main,110.600,83.457397
Seomjin,main,110.400,83.108246
Seomjin,main,110.200,82.832245
Seomjin,main,110.106,82.668999
Seomjin,main,110.000,82.557114
Seomjin,main,109.800,82.442917
Seomjin,main,109.600,82.309998
Seomjin,main,109.539,82.201004
Seomjin,main,109.400,82.129395
Seomjin,main,109.200,82.069092
Seomjin,main,109.000,81.949799
Seomjin,main,108.861,81.585938
Seomjin,main,108.800,81.195000
Seomjin,main,108.600,80.872520
Seomjin,main,108.400,80.436752
Seomjin,main,108.200,79.973755
Seomjin,main,108.113,79.622253
Seomjin,main,108.000,79.418747
Seomjin,main,107.943,79.306519
Seomjin,main,107.800,79.201004
Seomjin,main,107.600,79.100090
Seomjin,main,107.400,78.920830
Seomjin,main,107.200,78.628769
Seomjin,main,107.000,78.060745
Seomjin,main,106.800,77.564247
Seomjin,main,106.600,77.195999
Seomjin,main,106.400,76.963249
Seomjin,main,106.200,76.851746
Seomjin,main,106.000,76.795486
Seomjin,main,105.956,76.672256
Seomjin,main,105.800,76.563751
Seomjin,main,105.600,76.472168
Seomjin,main,105.400,76.380501
Seomjin,main,105.200,76.327751
Seomjin,main,105.152,76.306946
Seomjin,main,104.977,76.281372
Seomjin,main,104.800,76.242004
Seomjin,main,104.600,76.202751
Seomjin,main,104.400,76.164612
Seomjin,main,104.200,76.096344
Seomjin,main,104.142,75.758148
Seomjin,main,104.000,75.457748
Seomjin,main,103.800,75.264999
Seomjin,main,103.671,75.154755
Seomjin,main,103.600,75.079575
Seomjin,main,103.400,74.931183
Seomjin,main,103.200,74.768005
Seomjin,main,103.000,74.644936
Seomjin,main,102.800,74.556137
Seomjin,main,102.718,74.491043
Seomjin,main,102.600,74.404861
Seomjin,main,102.474,74.026749
Seomjin,main,102.400,73.762497
Seomjin,main,102.200,73.674988
Seomjin,main,102.000,73.638779
Seomjin,main,101.800,73.627823
Seomjin,main,101.600,73.608063
Seomjin,main,101.400,73.583923
Seomjin,main,101.200,73.572662
Seomjin,main,101.000,73.539909
Seomjin,main,100.868,73.125816
Seomjin,main,100.800,72.605499
Seomjin,main,100.600,72.268539
Seomjin,main,100.400,72.076294
Seomjin,main,100.200,71.990807
Seomjin,main,100.147,71.945190
Seomjin,main,100.000,71.850708
Seomjin,main,99.800,71.577347
Seomjin,main,99.727,71.134827
Seomjin,main,99.600,70.805664
Seomjin,main,99.400,70.480247
Seomjin,main,99.200,70.085770
Seomjin,main,99.000,69.821518
Seomjin,main,98.800,69.631912
Seomjin,main,98.600,69.480164
Seomjin,main,98.400,69.337463
Seomjin,main,98.200,69.196838
Seomjin,main,98.000,69.054543
Seomjin,main,97.800,68.924759
Seomjin,main,97.656,68.865013
Seomjin,main,97.600,68.833588
Seomjin,main,97.400,68.748634
Seomjin,main,97.200,68.593758
Seomjin,main,97.049,68.408386
Seomjin,main,97.000,68.102280
Seomjin,main,96.800,67.576370
Seomjin,main,96.600,67.132095
Seomjin,main,96.400,66.967255
Seomjin,main,96.200,66.905487
Seomjin,main,96.000,66.846306
Seomjin,main,95.800,66.794449
Seomjin,main,95.600,66.749100
Seomjin,main,95.400,66.728218
Seomjin,main,95.346,66.719727
Seomjin,main,95.200,66.692284
Seomjin,main,95.000,66.640305
Seomjin,main,94.896,66.596237
Seomjin,main,94.800,66.585892
Seomjin,main,94.600,66.573753
Seomjin,main,94.400,66.540474
Seomjin,main,94.200,66.495438
Seomjin,main,94.000,66.452232
Seomjin,main,93.800,66.413132
Seomjin,main,93.600,66.360886
Seomjin,main,93.502,66.275101
Seomjin,main,93.400,66.033287
Seomjin,main,93.200,65.741402
Seomjin,main,93.000,65.569183
Seomjin,main,92.800,65.438751
Seomjin,main,92.600,65.227005
Seomjin,main,92.400,64.987030
Seomjin,main,92.200,64.801430
Seomjin,main,92.000,64.617836
Seomjin,main,91.868,64.429810
Seomjin,main,91.800,64.281754
Seomjin,main,91.600,64.104248
Seomjin,main,91.400,63.884430
Seomjin,main,91.200,63.721165
Seomjin,main,91.000,63.484993
Seomjin,main,90.800,63.265862
Seomjin,main,90.600,63.161064
Seomjin,main,90.400,63.080013
Seomjin,main,90.297,62.990555
Seomjin,main,90.200,62.807739
Seomjin,main,90.000,62.668892
Seomjin,main,89.800,62.630398
Seomjin,main,89.600,62.563499
Seomjin,main,89.400,62.439224
Seomjin,main,89.200,62.248890
Seomjin,main,89.000,62.086998
Seomjin,main,88.800,61.963531
Seomjin,main,88.600,61.831009
Seomjin,main,88.400,61.720711
Seomjin,main,88.200,61.552246
Seomjin,main,88.000,61.189171
Seomjin,main,87.800,60.631554
Seomjin,main,87.718,60.160507
Seomjin,main,87.600,60.002617
Seomjin,main,87.400,59.924110
Seomjin,main,87.200,59.784012
